unopen,adj,cerrado
5,n,cinco
4,n,cuatro
9,n,nueve
8,n,ocho
g,n,mil
g,n,millar
e,n,correo
e,n,este
e,n,levante
c,n,cien
c,n,ciento
c,n,centenar
a,n,un
n,n,norte
l,n,cincuenta
m,n,mil
m,n,millar
k,n,mil
k,n,millar
w,n,oeste
v,n,cinco
s,n,s
s,n,sur
x,n,diez
much,adv,mucho
hello,n,hola
footling,adj,insignificante
footling,adj,pequeño
footling,adj,trivial
multifariousness,n,diversidad
multifariousness,n,diferencia
mule,n,mulo
mule,n,mula
balearic islands,?,islas
culture,n,cultura
culture,n,civilización
culture,n,conocimiento
culture,n,ilustración
cerium,n,cerio
cerise,adj,rojizo
cerise,adj,rojo
glass,n,vaso
glass,n,copa
glass,n,vidrio
impress,v,imprimir
impress,v,moldear
impress,v,sellar
discovery,n,hallazgo
discovery,n,descubrimiento
organization,n,organización
relative,n,pariente
conjunction,n,conjunción
2d,adj,segundo
16,n,dieciséis
11,n,once
20,n,veinte
10,n,diez
relation,n,relación
50,n,cincuenta
eagle,n,águila
property,n,propiedad
property,n,posesión
property,n,pertenencia
ermine,n,armiño
rival,n,adversario
rival,n,rival
govern,v,gobernar
govern,v,regir
overstep,v,superar
christian,n,cristiana
christian,adj,cristiano
agreement,n,acuerdo
agreement,n,pacto
agreement,n,contrato
economy,n,economía
south ossetia,?,osetia
river,n,río
holmium,n,holmio
compaction,n,estrujamiento
go,v,ir
go,v,convertirse
go,v,expirar
go,v,fallecer
go,v,sucumbir
go,v,durar
servant,n,criado
do,v,hacer
do,v,ejercer
do,v,meter
fe,n,hierro
earthworm,n,lombriz
earthworm,n,gusano
by,adv,por
be,n,ser
be,n,haber
be,v,durar
be,v,existir
be,v,vivir
edifice,n,edificio
at,n,en
crab,n,cangrejo
crab,n,jaiba
au,n,oro
al,n,al
an,n,un
an,n,una
ad,n,anuncio
ad,n,cartel
ad,n,letrero
ag,n,plata
no,n,no
no,adj,ningún
of,?,de
on,adj,conectado
on,adj,enchufado
on,adj,encendido
os,n,hueso
ox,n,buey
ox,n,toro
ox,n,novillo
pb,n,plomo
md,n,doctor
mo,n,instante
mo,n,minuto
mo,n,momento
my,?,mi
hr,n,h
hr,n,hora
hi,n,hola
is,?,es
is,?,está
is,?,hay
iv,n,cuatro
ix,n,nueve
in,n,en
xi,n,once
xv,adj,decimoquinto
warsaw,n,varsovia
front,n,delantera
front,adj,delantero
up,adj,alto
tv,n,tele
tv,n,televisión
tv,n,televisor
pinkish,adj,rosa
pinkish,adj,rosado
to,?,a
to,?,hacia
low-cal,adj,dietético
frost,n,escarcha
crow,n,corneja
crow,n,cuervo
th,n,jueves
so,adv,verdaderamente
so,adv,entonces
acknowledge,v,admitir
acknowledge,v,reconocer
chop-chop,adv,rápidamente
chop-chop,adv,apresuradamente
determination,n,decisión
determination,n,determinación
determination,n,resolución
determination,n,resultado
xx,n,veinte
yr,n,año
khrushchev,n,jrushchov
club,n,mazo
club,n,garrote
club,n,maza
club,n,asociación
club,n,club
club,n,clube
club,n,sociedad
club,n,círculo
noesis,n,conocimiento
noesis,n,saber
european bison,?,bisonte
beryllium,n,berilio
question,n,pregunta
question,n,cuestión
question,n,demanda
question,n,búsqueda
utilisation,n,empleo
utilisation,n,uso
utilisation,n,utilización
stomach,n,estómago
thailand,n,tailandia
screen,n,pantalla
christianity,n,cristianismo
wales,n,país
oceania,n,oceanía
e.g.,adv,por
clay,n,arcilla
clay,n,barro
marmot,n,marmota
claw,n,gancho
claw,n,garfio
claw,n,horquilla
powerfulness,n,energía
practise,v,ejercer
dependent,n,asunto
coca,n,coca
cock,n,gallo
thimble,n,dedal
what time is it,?,qué
coal,n,carbón
coat,n,chaqueta
decoration,n,adorno
decoration,n,decoración
perish,v,expirar
perish,v,fallecer
perish,v,sucumbir
guinea,n,guinea
preposition,n,preposición
dysprosium,n,disprosio
copy,n,copia
copy,v,copiar
copy,v,recrear
cook,n,cocinero
cook,v,preparar
cook,v,cocer
conk,v,expirar
conk,v,fallecer
conk,v,sucumbir
come,v,venir
come,v,llegar
comb,n,peine
practice,n,práctica
practice,v,ejercer
banknote,n,billete
period,n,mes
period,n,regla
period,n,período
period,n,ciclo
cost,n,coste
cost,n,costo
cost,n,precio
corn,n,maíz
core,n,centro
core,n,corazón
core,n,esencia
core,n,núcleo
core,n,sustancia
accordion,n,acordeón
dislike,v,desagradar
dislike,v,desfavorecer
dislike,v,disgustar
dislike,v,displacer
dislike,v,malquerer
dislike,v,odiar
dislike,v,repugnar
cold,n,resfriado
cold,n,constipación
cold,n,gripe
cold,n,gripa
cold,n,helado
cold,adj,frío
coin,n,moneda
coil,n,rollo
spider,n,araña
basalt,n,basalto
civilization,n,civilización
civilization,n,cultura
civilization,n,conocimiento
civilization,n,ilustración
expression,n,expresión
expression,n,aspecto
expression,n,apariencia
expression,n,estampa
ho-hum,adj,gris
ho-hum,adj,aburridor
nativity,n,nacimiento
beauty,n,belleza
illness,n,enfermedad
wednesday,n,miércoles
strange,adj,extraño
strange,adj,raro
strange,adj,extranjero
strange,adj,forastero
strange,adj,insólito
nature,n,naturaleza
western sahara,?,sahara
invitee,n,huésped
invitee,n,invitado
how-do-you-do,n,hola
christmas,n,navidad
taiga,?,taiga
eyebrow,n,ceja
market,n,plaza
market,n,mercado
marker,n,marca
marker,n,señal
balcony,n,balcón
beaver,n,castor
nobelium,n,nobelio
offer,n,oferta
offer,n,ganga
offer,n,saldo
offer,n,liquidación
offer,v,ofrecer
midweek,n,miércoles
visa,n,visa
visa,n,visado
chip,n,átomo
chip,n,pedazo
chip,n,pizca
chip,n,viruta
chin,n,barbilla
chin,n,mentón
chin,n,pera
chin,n,barba
yeast,n,levadura
penguin,n,pingüino
repast,n,comida
chou,n,repollo
oftentimes,adv,frecuentemente
view,n,apreciación
view,n,opinión
view,n,visión
view,n,dictamen
view,n,conjetura
view,n,informe
view,n,concepto
view,v,parecer
view,v,considerar
view,v,ver
bible,n,biblia
chew,v,masticar
vino,n,vino
subject,n,ámbito
subject,n,área
subject,n,campo
subject,n,disciplina
subject,n,asunto
subject,n,objeto
subject,n,tema
subject,n,premisa
design,n,diseño
design,n,concepción
design,n,invención
design,v,diseñar
wages,n,pago
wages,n,recompensa
viii,n,ocho
octopus,n,pulpo
pectus,n,tórax
fruit,n,fruta
fruit,n,fruto
encourage,v,animar
encourage,v,estimular
variety,n,diversidad
variety,n,diferencia
variety,n,clase
variety,n,tipo
listing,n,lista
listing,n,repertorio
coconut,n,coco
title,n,campeonato
title,n,título
title,v,autorizar
title,v,titular
desire,v,desear
desire,v,querer
marrow,n,centro
marrow,n,corazón
marrow,n,esencia
marrow,n,núcleo
marrow,n,sustancia
tending,n,atención
